STATION,NAME,DATE,SNWD,TAVG,TMAX,TMIN
RSM00026063,"ST. PETERSBURG, RS",1996-12-01,,39,43,32
RSM00026063,"ST. PETERSBURG, RS",1996-12-02,,39,43,36
RSM00026063,"ST. PETERSBURG, RS",1996-12-03,,39,40,37
RSM00026063,"ST. PETERSBURG, RS",1996-12-04,,39,41,35
RSM00026063,"ST. PETERSBURG, RS",1996-12-05,,34,36,33
RSM00026063,"ST. PETERSBURG, RS",1996-12-06,,34,36,32
RSM00026063,"ST. PETERSBURG, RS",1996-12-07,,36,39,33
RSM00026063,"ST. PETERSBURG, RS",1996-12-08,,36,38,34
RSM00026063,"ST. PETERSBURG, RS",1996-12-09,,38,40,35
RSM00026063,"ST. PETERSBURG, RS",1996-12-10,,39,40,38
RSM00026063,"ST. PETERSBURG, RS",1996-12-11,,31,40,25
RSM00026063,"ST. PETERSBURG, RS",1996-12-12,0.8,29,34,24
RSM00026063,"ST. PETERSBURG, RS",1996-12-13,0.4,32,34,30
RSM00026063,"ST. PETERSBURG, RS",1996-12-14,0.8,30,35,23
RSM00026063,"ST. PETERSBURG, RS",1996-12-15,1.6,23,28,19
RSM00026063,"ST. PETERSBURG, RS",1996-12-16,5.9,21,26,17
RSM00026063,"ST. PETERSBURG, RS",1996-12-17,5.5,15,20,13
RSM00026063,"ST. PETERSBURG, RS",1996-12-18,3.9,17,19,14
RSM00026063,"ST. PETERSBURG, RS",1996-12-19,,11,17,5
RSM00026063,"ST. PETERSBURG, RS",1996-12-20,5.1,16,22,11
RSM00026063,"ST. PETERSBURG, RS",1996-12-21,3.5,11,16,6
RSM00026063,"ST. PETERSBURG, RS",1996-12-22,4.3,8,15,3
RSM00026063,"ST. PETERSBURG, RS",1996-12-23,5.9,4,11,-2
RSM00026063,"ST. PETERSBURG, RS",1996-12-24,5.5,1,5,-3
RSM00026063,"ST. PETERSBURG, RS",1996-12-25,5.1,-5,0,-9
RSM00026063,"ST. PETERSBURG, RS",1996-12-26,4.7,-5,6,-13
RSM00026063,"ST. PETERSBURG, RS",1996-12-27,5.1,18,25,5
RSM00026063,"ST. PETERSBURG, RS",1996-12-28,5.1,27,29,23
RSM00026063,"ST. PETERSBURG, RS",1996-12-29,,23,29,19
RSM00026063,"ST. PETERSBURG, RS",1996-12-30,6.7,13,19,11
RSM00026063,"ST. PETERSBURG, RS",1996-12-31,,11,13,8
RSM00026063,"ST. PETERSBURG, RS",1997-01-01,7.1,18,24,12
RSM00026063,"ST. PETERSBURG, RS",1997-01-02,7.1,14,18,11
RSM00026063,"ST. PETERSBURG, RS",1997-01-03,7.1,22,28,15
RSM00026063,"ST. PETERSBURG, RS",1997-01-04,6.7,10,22,3
RSM00026063,"ST. PETERSBURG, RS",1997-01-05,8.3,11,16,4
RSM00026063,"ST. PETERSBURG, RS",1997-01-06,8.7,5,17,-5
RSM00026063,"ST. PETERSBURG, RS",1997-01-07,8.7,27,32,17
RSM00026063,"ST. PETERSBURG, RS",1997-01-08,8.7,21,27,19
RSM00026063,"ST. PETERSBURG, RS",1997-01-09,7.5,21,24,19
RSM00026063,"ST. PETERSBURG, RS",1997-01-10,7.1,22,26,10
RSM00026063,"ST. PETERSBURG, RS",1997-01-11,9.8,5,14,-2
RSM00026063,"ST. PETERSBURG, RS",1997-01-12,9.4,16,20,9
RSM00026063,"ST. PETERSBURG, RS",1997-01-13,9.8,21,31,18
RSM00026063,"ST. PETERSBURG, RS",1997-01-14,8.3,35,37,30
RSM00026063,"ST. PETERSBURG, RS",1997-01-15,7.1,30,36,23
RSM00026063,"ST. PETERSBURG, RS",1997-01-16,7.1,33,37,26
RSM00026063,"ST. PETERSBURG, RS",1997-01-17,7.1,23,29,20
RSM00026063,"ST. PETERSBURG, RS",1997-01-18,7.1,24,31,20
RSM00026063,"ST. PETERSBURG, RS",1997-01-19,7.1,31,35,27
RSM00026063,"ST. PETERSBURG, RS",1997-01-20,8.3,24,35,17
RSM00026063,"ST. PETERSBURG, RS",1997-01-21,8.3,23,32,14
RSM00026063,"ST. PETERSBURG, RS",1997-01-22,9.1,34,36,32
RSM00026063,"ST. PETERSBURG, RS",1997-01-23,7.9,33,35,32
RSM00026063,"ST. PETERSBURG, RS",1997-01-24,10.6,28,32,22
RSM00026063,"ST. PETERSBURG, RS",1997-01-25,11,16,23,8
RSM00026063,"ST. PETERSBURG, RS",1997-01-26,10.6,18,25,10
RSM00026063,"ST. PETERSBURG, RS",1997-01-27,10.2,30,33,24
RSM00026063,"ST. PETERSBURG, RS",1997-01-28,15.7,27,33,19
RSM00026063,"ST. PETERSBURG, RS",1997-01-29,15.7,13,20,6
RSM00026063,"ST. PETERSBURG, RS",1997-01-30,12.6,14,30,0
RSM00026063,"ST. PETERSBURG, RS",1997-01-31,13,29,34,22
RSM00026063,"ST. PETERSBURG, RS",1997-02-01,13.4,20,23,18
RSM00026063,"ST. PETERSBURG, RS",1997-02-02,13.8,15,25,4
RSM00026063,"ST. PETERSBURG, RS",1997-02-03,13.4,27,32,22
RSM00026063,"ST. PETERSBURG, RS",1997-02-04,13,32,33,31
RSM00026063,"ST. PETERSBURG, RS",1997-02-05,13,31,33,27
RSM00026063,"ST. PETERSBURG, RS",1997-02-06,14.6,25,30,19
RSM00026063,"ST. PETERSBURG, RS",1997-02-07,14.6,19,37,2
RSM00026063,"ST. PETERSBURG, RS",1997-02-08,11.8,34,37,33
RSM00026063,"ST. PETERSBURG, RS",1997-02-09,11,25,34,15
RSM00026063,"ST. PETERSBURG, RS",1997-02-10,11.8,18,22,15
RSM00026063,"ST. PETERSBURG, RS",1997-02-11,12.2,25,35,20
RSM00026063,"ST. PETERSBURG, RS",1997-02-12,12.6,34,36,32
RSM00026063,"ST. PETERSBURG, RS",1997-02-13,11.4,29,32,25
RSM00026063,"ST. PETERSBURG, RS",1997-02-14,13.8,27,32,14
RSM00026063,"ST. PETERSBURG, RS",1997-02-15,13.8,5,15,0
RSM00026063,"ST. PETERSBURG, RS",1997-02-16,13.4,4,8,0
RSM00026063,"ST. PETERSBURG, RS",1997-02-17,13.4,11,18,3
RSM00026063,"ST. PETERSBURG, RS",1997-02-18,13.8,12,21,7
RSM00026063,"ST. PETERSBURG, RS",1997-02-19,13.8,11,21,0
RSM00026063,"ST. PETERSBURG, RS",1997-02-20,13.4,18,26,11
RSM00026063,"ST. PETERSBURG, RS",1997-02-21,14.6,29,35,24
RSM00026063,"ST. PETERSBURG, RS",1997-02-22,13.4,33,35,30
RSM00026063,"ST. PETERSBURG, RS",1997-02-23,13.4,34,37,30
RSM00026063,"ST. PETERSBURG, RS",1997-02-24,11,40,41,37
RSM00026063,"ST. PETERSBURG, RS",1997-02-25,7.1,40,43,38
RSM00026063,"ST. PETERSBURG, RS",1997-02-26,0.4,41,43,38
RSM00026063,"ST. PETERSBURG, RS",1997-02-27,,35,39,33
RSM00026063,"ST. PETERSBURG, RS",1997-02-28,,31,35,28
RSM00026063,"ST. PETERSBURG, RS",1997-03-01,,34,37,28
RSM00026063,"ST. PETERSBURG, RS",1997-03-02,,37,42,33
RSM00026063,"ST. PETERSBURG, RS",1997-03-03,,38,42,35
RSM00026063,"ST. PETERSBURG, RS",1997-03-04,,34,38,32
RSM00026063,"ST. PETERSBURG, RS",1997-03-05,,34,41,30
RSM00026063,"ST. PETERSBURG, RS",1997-03-06,,33,42,25
RSM00026063,"ST. PETERSBURG, RS",1997-03-07,,36,43,33
RSM00026063,"ST. PETERSBURG, RS",1997-03-08,39.4,37,44,30
RSM00026063,"ST. PETERSBURG, RS",1997-03-09,,36,41,30
RSM00026063,"ST. PETERSBURG, RS",1997-03-10,,38,43,33
RSM00026063,"ST. PETERSBURG, RS",1997-03-11,,33,37,30
RSM00026063,"ST. PETERSBURG, RS",1997-03-12,,37,40,33
RSM00026063,"ST. PETERSBURG, RS",1997-03-13,,38,41,35
RSM00026063,"ST. PETERSBURG, RS",1997-03-14,,32,37,29
RSM00026063,"ST. PETERSBURG, RS",1997-03-15,,28,34,22
RSM00026063,"ST. PETERSBURG, RS",1997-03-16,0.4,27,32,24
RSM00026063,"ST. PETERSBURG, RS",1997-03-17,0.4,24,29,20
RSM00026063,"ST. PETERSBURG, RS",1997-03-18,,22,28,18
RSM00026063,"ST. PETERSBURG, RS",1997-03-19,0.4,20,24,18
RSM00026063,"ST. PETERSBURG, RS",1997-03-20,2.4,18,24,13
RSM00026063,"ST. PETERSBURG, RS",1997-03-21,1.6,22,26,14
RSM00026063,"ST. PETERSBURG, RS",1997-03-22,0.8,22,26,17
RSM00026063,"ST. PETERSBURG, RS",1997-03-23,0.8,21,28,11
RSM00026063,"ST. PETERSBURG, RS",1997-03-24,,22,28,18
RSM00026063,"ST. PETERSBURG, RS",1997-03-25,,20,27,13
RSM00026063,"ST. PETERSBURG, RS",1997-03-26,,20,31,10
RSM00026063,"ST. PETERSBURG, RS",1997-03-27,,25,28,22
RSM00026063,"ST. PETERSBURG, RS",1997-03-28,2.4,30,34,27
RSM00026063,"ST. PETERSBURG, RS",1997-03-29,0.4,34,36,33
RSM00026063,"ST. PETERSBURG, RS",1997-03-30,0.4,34,40,32
RSM00026063,"ST. PETERSBURG, RS",1997-03-31,2.4,35,42,30
RSM00026063,"ST. PETERSBURG, RS",1997-04-01,,42,48,36
RSM00026063,"ST. PETERSBURG, RS",1997-04-02,,40,45,36
RSM00026063,"ST. PETERSBURG, RS",1997-04-03,,42,49,34
RSM00026063,"ST. PETERSBURG, RS",1997-04-04,,39,49,33
RSM00026063,"ST. PETERSBURG, RS",1997-04-05,,30,34,28
RSM00026063,"ST. PETERSBURG, RS",1997-04-06,,27,35,23
RSM00026063,"ST. PETERSBURG, RS",1997-04-07,,31,37,27
RSM00026063,"ST. PETERSBURG, RS",1997-04-08,,30,39,22
RSM00026063,"ST. PETERSBURG, RS",1997-04-09,,31,39,22
RSM00026063,"ST. PETERSBURG, RS",1997-04-10,0.4,33,35,31
RSM00026063,"ST. PETERSBURG, RS",1997-04-11,,33,35,32
RSM00026063,"ST. PETERSBURG, RS",1997-04-12,2.8,28,33,26
RSM00026063,"ST. PETERSBURG, RS",1997-04-13,,24,33,15
RSM00026063,"ST. PETERSBURG, RS",1997-04-14,2,35,38,30
RSM00026063,"ST. PETERSBURG, RS",1997-04-15,2.4,34,42,26
RSM00026063,"ST. PETERSBURG, RS",1997-04-16,,42,52,32
RSM00026063,"ST. PETERSBURG, RS",1997-04-17,,39,49,31
RSM00026063,"ST. PETERSBURG, RS",1997-04-18,,36,44,34
